n_groups,relay_url,relay_pubkey,all_urls_seen
2,,124d88a34f3e011f694b286b237cbab557e286da393dd834764eaa52488a92db,
2,,932614571afcbad4d17a191ee281e39eebbb41b93fac8fd87829622aeb112f4d,
1,wss://abc.spaces.flotilla.social,8503a95a1dede385db78b741b4bf77d37b61421d66132934c06e8206aac52831,wss://abc.spaces.flotilla.social
1,wss://czas.plus,ff6f1d78029fe9fb76012ea250b2e40378444ae126321ee7c75a318ca5ac465c,wss://czas.plus
1,wss://kasztanowa.bieda.it,f9ba478cfd3b6134b4316a31aa7683067fd73c1c6215a8d33a824090391c97ab,wss://kasztanowa.bieda.it
1,wss://myvoiceourstory.org,7b58a9c4194d5f0c3809b5ae3643cffcf1eb49c11d4e2e5c5147b468abf93f3d,wss://myvoiceourstory.org
1,wss://nestr.nedao.ch,309d9509a645583df2ec6d96506991ead80e72545af1473860729a1e9d18b3e6,wss://nestr.nedao.ch
1,wss://pyramid.self-determined.de,035908f5e9423761f02ec2b0995aea2474d2a0b0531d27bf23d2174794569593,wss://pyramid.self-determined.de
1,wss://relay.checkstr.de,0a8449c2bd475744baef92747d18180bc8c1cfe3ad4a785f9ef2f81f26587c6d,wss://relay.checkstr.de
1,wss://relay.cloistr.xyz,ac16282f720514d926a57b5c13f02d1f4e32bd6fe3e00f713f50964571685f62,wss://relay.cloistr.xyz wss://relay.cloistr.xyz/anchor wss://relay.cloistr.xyz/charlie wss://relay.cloistr.xyz/charlie-warden wss://relay.cloistr.xyz/cipher wss://relay.cloistr.xyz/dynamo-onyx wss://relay.cloistr.xyz/ember-zenith wss://relay.cloistr.xyz/flint-sierra-haven wss://relay.cloistr.xyz/haven wss://relay.cloistr.xyz/hotel-ivory wss://relay.cloistr.xyz/jade wss://relay.cloistr.xyz/juliet-jade-kilo wss://relay.cloistr.xyz/prism-golf-quebec wss://relay.cloistr.xyz/prism-lima wss://relay.cloistr.xyz/romeo-kilo wss://relay.cloistr.xyz/sable-titan wss://relay.cloistr.xyz/tango-jade-glyph wss://relay.cloistr.xyz/titan-warden wss://relay.cloistr.xyz/yonder wss://relay.cloistr.xyz/yonder-november-echo
1,wss://relay.dyne.org,0623de1b0b0986e7098218331038786fc60fc5eb925bbcef2a1cef74c3debeaf,wss://relay.dyne.org
1,wss://relay.kcbitcoiners.com,d5a9abd474b45bbe70320592897202687227278b09ecf9c3e35cde4681539817,wss://relay.kcbitcoiners.com
1,wss://relay.kubo.watch,c1d62cf50e20c61849f9e7a6c31d387ee02ba8dfd9b550ce41dd29f19a960f71,wss://relay.kubo.watch
1,wss://relay.nyves.nl,d93efded6eacfba6eca951b6060b636b5c4bd8e9cb70d447fff083b7ba777b42,wss://relay.nyves.nl
1,wss://relay.og.coop,a0a4edc80825e773755f6ddb4b5348673e84435f92397c5e736655dbf0802b3c,wss://relay.og.coop
1,wss://social.fbxl.net/relay,0a0a065c215c38cdb0d0698731eed9a310fdba77963a298adc32213fe0dfa117,wss://social.fbxl.net/relay
1,,00ba90990d6708944b922d0963b3ebd4c04926dd0c887b86a1a5039a7bc83986,
1,,03125e3a077a726a963fb947ac914d165c081c49a3efddfffa3399baf87eca5d,
1,,0319cdc0859bcc79f5542777a775c614f82be1a042416c74851a7f13766164e6,
1,,0b39d583a83db692ed40cfe88b1f33d15c3742c6aaa061dbb8767a2b0244f7c9,
1,,1642183d6383d7e643ee05c1b7a7e9eff68f5737e2ee9775cde1cf63d025a282,
1,,18283348520f00e6283251c5a2a7a86fedce3ab18d1a796dcf84abd7f2da1ee3,
1,,1baf936e8d8e555946a82d232e48eaa02c4345b356503c3531315fb94a36498a,
1,,1d05184e0c07114657631c96780817234d44044dd79fd219f043627b371db683,
1,,215d066471761042300ac273d6167d09346ad9746fa0e01d4b20d4b28ac8f5d1,
1,,37896c4a936407e79f4b9baa160114cdf05ea9ad0dcf750fa6f63715d1c86dce,
1,,37d14f64f036eb269b0eb9e5ee3a5f63dcd9995c2a849b0f572d6131027f8ca3,
1,,42a22274b979e6a88f75780bcfa539b1a254c63260a55f228132b004be3de0df,
1,,4c5fbaffa01012a1af0895a29a135bbb18b4cb0e1b97b0807f16bb9d8204a377,
1,,5a046afadcefc6c83863f3617f2f2bd7554984d7e644db9295e667d275dfce4a,
1,,600ed8ae42b1965bd8d604aaa09b3e5dc14f248a56bb3a3003186aec4a582aad,
1,,62361b92488be103ddc97345421bbf6c7197b3d9d1cb80e2ebe4d750a26d5955,
1,,64cf2cb3103b8e4841329b0b62a9e822c7f338304293937b9e2bda1705f00d44,
