h_tag,group_name,id_shape,n_relay_instances,relays_or_relay_keys
npub1mv0d5wxc76rnexts3ll8p0d9u3xvywxsht4stk9umej3ng20mykqkvqppt:turdstinky,turdstinky,npub-namespaced,2,key:67553b9d key:db1eda38
npub1q6fpdd3azzkka455mgd8wfg55k9csgsefdlcm6x6z3cu02x2z9ps684gf8:testYuckYuck,test yuck yuck,npub-namespaced,2,key:069216b6 key:e44e4acd
npub1rcuh7h6v6hqaz23s8c6d424zr7qdtcu4zqjnfcdgfz833qz3g0aqkrmlfx:testFoggleschmits,test foggleschmits,npub-namespaced,2,key:1e397f5f key:69472b29
npub1rn244v3mnqq57z6g3fcjugu7rg2gveet9am08svph5sqxm6ezcnslalhvc:testGargleMeats,test gargle meats,npub-namespaced,2,key:1cd55ab2 key:f00fb1e7
npub1sg27aflk3mu9vw0kk293rpqmyssvz44pwfde4emane6f70qnxulse3w56a:jimmyJangaSalami,Jimmy JANGA SALAMI,npub-namespaced,2,key:8215eea7 key:8310696a
npub1svgxj636azvze5za4ux99ryd8xdk8rl659qg4l4nkct9q28kth5qcp6av7:scubaGoodingJrFoundation,SCUBA GOODING JR FOUNDATION,npub-namespaced,2,key:6ce1d910 key:8310696a
npub1svrmldxn8elnyfkvtcnkrryuhrua6sgcduucyyne2cjpu75ev2dsjffyls:wildSillyBoys,wild silly boys,npub-namespaced,2,key:8307bfb4 key:fb981aaf
npub1szhzl9mcrgce6zwwxklvch8vk69hm0chdlc2z772mev464m06x0s2jk4ta:testBeenis,test beenis,npub-namespaced,2,key:6d26c0ca key:80ae2f97
npub1t927j9wh58w6v7wh7j0h656wx7693jyu75ake88gyhn0j6xps3xswuph3h:diagopen-1772304696067,DiagOpen-1772304696067,npub-namespaced,2,key:5955e915 key:72d89358
npub1tjtk48gnrjmuuqqkvt32yr8fhfjmpp7x6ytvvgjx77m6z05yjwus064en7:meatstickDonks,meatstick donks,npub-namespaced,2,key:1dab008b key:5c976a9d
npub1vqjxnvcwqg803swqhvnk3sfwxr0mxgxgvczv9x7p44wcc0kdevtqvnxrr5:diagopen-1772304924062,DiagOpen-1772304924062,npub-namespaced,2,key:602469b3 key:6cbc6bef
npub1vqnsdlwul0wd59xh6xagtcjedn2vvf2l5cwvz2weffh7ffjfq3gq0352qh:scoobyDoots,Scooby DOOTS,npub-namespaced,2,key:031aea4b key:602706fd
npub1vyawdp3z3s7n0af0fyens40qzuxyqpwd7csy7vpyfq9daccekpdqltqanf:yelbowFishermen,yelbow fishermen,npub-namespaced,2,key:613ae686 key:8c1a02cf
npub1wm5h5sru6mzqnqfg3cl9t5pc5pl0l5066uwr7w9c5dtpewqefn8qw4m4nt:testYarglemeeps,test yarglemeeps,npub-namespaced,2,key:76e97a40 key:e18f845e
npub1wtvfxkyquzdky3sasqr5mnla76x4zmm0k5p3rjvhkpuwxrlu5gcsn2h9w4:diagopen-1772304806212,DiagOpen-1772304806212,npub-namespaced,2,key:602469b3 key:72d89358
npub1xwkd36h0ek6yahjyz4jljnctezpkksgj9k4tkq94yrd2td0lt8ksmpgxxl:s19-19c82ca9224-a2aa-group,S19-19c82ca9224-a2aa-group,npub-namespaced,2,key:3339498a key:33acd8ea
npub1y49x8wmm0zgcjt0eqegjketkucnrqhy5m656uqygfauu2m3fszzqqh2lzg:s19-19c83384aa9-60c8-group,S19-19c83384aa9-60c8-group,npub-namespaced,2,key:254a63bb key:dcb5d244
npub1yge23k5uvrj3k0jss9cw4tadhqspsjf0k9h7ce8nyuqze0kuveqqryp9y8:testMoomoomama,test moomoomama,npub-namespaced,2,key:2232a8da key:dd24948d
npub1zqhy595g9wgul2tfrugvj8st8u9ptvsew9jm9r3m5ev9598uutesc7eyn4:test24Fresh,test 24 fresh,npub-namespaced,2,key:102e4a16 key:34974b32
2a69c7,Nostr Developers Test,random hex-6,1,wss://groups.fiatjaf.com
nmp,,human-readable slug,1,wss://nip29.f7z.io
0064e4bfe1d15475,,random hex-16,1,wss://nip29.f7z.io
0fe5c432fe6196191c134c666260b2a32fa6edd920ba1c40fcd00b0f27839f98,nos engineers,random hex-64,1,wss://groups.0xchat.com
111,,human-readable slug,1,wss://nip29.f7z.io
1195487f-86a2-42,ΛD ΛSTRΛ's Highlighter,human-readable slug,1,wss://nip29.f7z.io
1223e37e-fd01-4b,yojmbo's Highlighter,human-readable slug,1,wss://nip29.f7z.io
12a4685a-5153-45,Agent_Osman's Highlighter,human-readable slug,1,wss://nip29.f7z.io
14cea29d-3e47-44,A Knowledge Knight's Highlighter,human-readable slug,1,wss://nip29.f7z.io
1814d39f-318f-42,ΛD ΛSTRΛ's Highlighter,human-readable slug,1,wss://nip29.f7z.io
1d3755bc-e3da-4a,Don Quijote de la Blockchain,human-readable slug,1,wss://nip29.f7z.io
23b538,pajamas,random hex-6,1,wss://groups.fiatjaf.com
27170129-b650-4e,noke's Highlighter,human-readable slug,1,wss://nip29.f7z.io
29e90744-0924-42,yojmbo's Highlighter,human-readable slug,1,wss://nip29.f7z.io
2ba3fa60f123533c,,random hex-16,1,wss://nip29.f7z.io
2cb77481-e202-44,Hunt Tickets's Highlighter,human-readable slug,1,wss://nip29.f7z.io
32d5e8aa-60be-40,Agent_Osman's Highlighter,human-readable slug,1,wss://nip29.f7z.io
37609928-bedd-43,Promethean Softwar Sovereign's Highlighter,human-readable slug,1,wss://nip29.f7z.io
